,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_FiberOptic,InternetService_None,Contract_Month-to-month,Contract_Oneyear,Contract_TwoYear
4699,0,30,67585.42,9.767413,14,1,0,0,0,1,1,0,1,0,1,0,1,1,1,222.65,2020.604314,0,1,0,1,0,0,0,1,0,0,1,0
9056,0,23,34414.35,13.96183,10,0,0,0,1,0,1,0,0,1,0,0,0,0,1,114.9509,5244.106579,0,1,0,0,1,0,1,0,0,1,0,0
67,1,78,22365.28,10.80393657,19,1,0,0,0,0,1,0,0,0,0,0,1,1,0,207.609354,1323.028419,0,0,1,0,1,0,0,1,0,1,0,0
1142,2,81,30434.99,4.316379108,8,2,0,0,0,0,1,1,1,0,1,1,1,1,0,235.188375,1795.290082,0,0,1,1,0,0,0,0,1,0,0,1
9938,1,19,42381.63,9.741873,6,1,0,0,0,0,1,1,1,1,1,0,1,1,1,245.175,5672.753791,0,0,1,1,0,0,0,0,1,1,0,0
4931,0,22,21413.24,9.757323,9,1,0,1,0,0,1,1,1,1,0,1,1,1,0,277.6375,1316.360571,0,1,0,1,0,0,0,1,0,1,0,0
4979,2,20,54664.15,10.83271,7,2,1,0,0,1,1,1,1,0,0,1,1,1,0,255.1417,1470.429882,0,0,1,1,0,0,0,1,0,1,0,0
7016,2,28,15824.51,6.67582,20,1,0,0,1,1,1,1,0,1,0,0,0,1,1,169.9671,4136.166396,1,0,0,0,1,0,0,0,1,0,0,1
5595,1,77,62758.96,11.67521,12,2,0,0,1,1,1,1,1,0,1,0,0,1,1,194.9882,3819.338688,0,1,0,0,1,0,0,1,0,1,0,0
8443,1,19,36574.47,9.897425,19,1,0,1,1,0,1,1,0,1,1,1,0,0,1,192.4885,5045.584915,1,0,0,0,1,0,0,1,0,1,0,0
6105,0,40,25993.77,13.25194,13,1,1,0,0,0,1,1,1,0,1,0,1,1,0,235.1555,5845.571509,1,0,0,0,1,0,1,0,0,0,0,1
8130,4,52,58120.56,10.53777,6,1,0,0,0,0,1,1,1,0,1,1,0,0,1,172.5104,6203.067904,0,0,1,1,0,0,0,1,0,1,0,0
1467,1,75,19696.86,8.052655017,5,1,0,0,0,0,0,0,1,0,1,0,1,1,0,222.649979,783.1189106,0,1,0,1,0,0,0,1,0,1,0,0
5722,7,33,33934.52,10.49951,11,0,0,0,1,1,1,1,0,1,0,0,0,1,1,202.4433,4811.298513,0,1,0,1,0,0,0,1,0,1,0,0
6495,1,66,6385.6,5.546215,10,3,0,1,0,1,1,0,1,1,0,0,1,1,1,232.6228,6372.288678,0,1,0,1,0,0,0,1,0,0,1,0
1080,1,21,28727.43,10.55414085,11,1,0,1,1,0,1,0,0,1,1,1,0,0,1,139.983006,2323.477681,0,0,1,1,0,0,1,0,0,1,0,0
5876,4,88,17400.04,5.274699,16,1,1,1,0,0,1,1,1,1,1,1,0,1,1,229.9931,5482.759209,0,1,0,1,0,0,0,1,0,1,0,0
7479,1,65,14606.55,11.64985,9,1,0,0,1,1,0,1,0,1,1,0,1,1,1,255.1336,6755.042431,0,0,1,1,0,0,1,0,0,1,0,0
799,2,77,36678.72,10.35866414,4,0,0,0,1,1,1,0,0,1,0,1,1,0,0,152.44408,3088.823891,1,0,0,0,1,0,1,0,0,0,1,0
2236,0,52,70459.21,14.7789,10,0,2,0,1,0,1,0,0,1,1,1,1,1,0,235.1372,1450.54664,0,0,1,1,0,0,1,0,0,0,0,1
2875,0,55,62894.22,6.601125,11,1,0,1,1,0,1,0,0,0,0,0,0,0,1,92.45514,1844.526573,1,0,0,0,1,0,1,0,0,0,1,0
1701,3,42,52352.24,7.219910689,8,1,0,0,1,0,1,1,1,0,0,1,0,1,1,194.974431,897.6280912,1,0,0,0,1,0,0,1,0,1,0,0
9637,3,60,12111.3,12.92019,8,3,1,0,1,1,1,1,1,1,0,0,0,0,0,169.9741,4544.638415,1,0,0,1,0,0,0,1,0,0,0,1
5587,3,45,79363.76,9.865242,13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,212.6415,6009.463821,0,1,0,1,0,0,1,0,0,1,0,0
5989,1,32,84409.23,6.279415,12,0,0,1,0,0,1,0,0,0,1,1,0,0,0,105.011,5517.467178,0,1,0,0,1,0,0,0,1,0,0,1
1235,4,49,31644.7,15.76975133,8,1,0,0,0,1,1,1,0,1,1,1,0,1,1,227.475448,1599.474597,1,0,0,0,1,0,0,1,0,1,0,0
2826,0,64,14921.92,12.52668,12,1,1,0,0,0,1,0,1,0,0,1,1,0,0,152.466,1167.924948,0,1,0,0,1,0,0,1,0,1,0,0
1169,7,57,41210.5,10.59857436,12,1,1,1,0,0,1,0,0,1,0,1,1,0,1,152.44408,1208.458932,0,0,1,1,0,0,1,0,0,1,0,0
4308,3,50,13226.92,15.54324,12,2,0,0,0,0,1,1,1,1,1,0,1,1,1,277.6513,1094.028517,1,0,0,0,1,0,0,1,0,0,1,0
8896,0,83,59357.03,11.37971,12,0,0,0,1,0,1,1,0,0,1,1,0,0,1,137.5165,5396.225434,1,0,0,0,1,0,0,0,1,0,0,1
3186,1,40,57025.5,11.24987,16,1,0,0,0,0,1,0,0,1,0,0,1,0,1,139.9349,928.6314289,1,0,0,0,1,0,1,0,0,1,0,0
6917,0,72,16352.29,11.51984,12,1,0,0,1,0,1,1,0,1,1,0,1,0,1,172.4871,5160.058163,1,0,0,1,0,0,0,0,1,0,1,0
754,3,84,9994.08,13.98915649,13,1,2,0,1,0,0,0,1,1,1,0,1,1,0,245.145743,1207.841461,1,0,0,1,0,0,0,1,0,1,0,0
6347,4,83,14148.82,9.739276,17,0,0,0,0,1,1,1,0,1,0,0,1,1,1,242.6106,6576.137248,1,0,0,0,0,1,1,0,0,1,0,0
9423,1,73,36658.04,10.26971,10,0,1,0,0,0,0,1,0,1,1,0,1,1,1,242.6573,5746.521769,1,0,0,1,0,0,0,0,1,1,0,0
6798,3,87,19461.01,9.696417,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,129.9621,5171.93181,0,0,1,0,1,0,1,0,0,0,0,1
7790,3,48,44510.61,9.519633,5,0,0,0,0,0,1,1,0,1,1,1,1,0,0,184.9963,5921.940703,0,0,1,1,0,0,0,0,1,0,1,0
9500,0,37,72185.15,5.15128,11,1,0,0,1,0,0,0,0,1,0,1,1,0,1,172.4441,6101.79747,0,0,1,1,0,0,0,1,0,1,0,0
676,0,73,54937.5,12.07745494,13,1,1,0,0,0,1,1,1,0,0,1,0,0,1,127.511223,871.2907856,0,0,1,1,0,0,0,0,1,1,0,0
1851,1,42,36705.32,6.256478572,12,1,1,0,1,0,1,1,0,0,1,1,0,1,1,204.979684,567.3209248,0,0,1,0,1,0,0,1,0,0,1,0
2042,1,68,53952.59,11.02404,7,1,0,0,1,0,0,1,1,1,1,0,1,1,0,277.6513,1757.837077,0,0,1,0,1,0,0,1,0,0,0,1
8732,3,24,65486.61,13.56479,11,2,1,0,0,1,1,0,1,0,1,0,1,0,1,132.4798,5939.670076,0,0,1,1,0,0,1,0,0,1,0,0
7498,1,82,28254.82,12.63006,11,2,0,0,1,1,1,1,0,0,1,0,1,0,1,162.4676,5369.680372,1,0,0,0,1,0,1,0,0,0,0,1
5450,3,24,56591.47,7.924796,15,1,0,0,1,0,1,1,0,0,0,1,1,0,1,162.4538,6300.056458,0,0,1,0,1,0,1,0,0,1,0,0
5272,1,24,59523.54,9.809329,17,0,0,0,1,1,1,1,0,0,0,0,1,0,0,149.9447,5824.302038,1,0,0,0,1,0,1,0,0,1,0,0
5807,0,50,71436.4,3.522063,17,1,0,0,0,0,1,0,0,0,0,1,0,0,0,104.9643,4610.805566,0,0,1,1,0,0,1,0,0,0,0,1
4873,1,73,3900.77,9.017084,13,1,2,0,0,0,1,0,0,1,0,1,0,1,0,162.447,2167.855557,0,0,1,0,1,0,1,0,0,0,1,0
7474,2,19,13774.14,7.457468,12,0,1,0,1,0,1,0,0,0,1,0,1,0,0,149.9621,5772.353993,0,0,1,0,1,0,0,1,0,1,0,0
7212,3,45,21353.34,5.527812,14,0,1,0,1,1,0,0,0,0,1,0,0,1,1,139.965,6236.509405,1,0,0,0,1,0,1,0,0,1,0,0
